overall,player_beta,player_name,bye_week,position_beta,position,team,Min,min_pos,adp_beta,adp,Max,max_pos
137,Nick Chubb (6),Nick Chubb,6,RB51,RB,HOU,123 (11.3),11.3,139 (12.7),12.7,155 (13.11),13.11
138,Hunter Henry (14),Hunter Henry,14,TE19,TE,NE,123 (11.3),11.3,140 (12.8),12.8,164 (14.8),14.8
139,Brandon Aiyuk (14),Brandon Aiyuk,14,WR58,WR,SF,122 (11.2),11.2,140 (12.8),12.8,170 (15.2),15.2
140,Justin Fields (9),Justin Fields,9,QB12,QB,NYJ,109 (10.1),10.1,140 (12.8),12.8,157 (14.1),14.1
141,Drake Maye (14),Drake Maye,14,QB13,QB,NE,127 (11.7),11.7,141 (12.9),12.9,162 (14.6),14.6
142,Caleb Williams (5),Caleb Williams,5,QB14,QB,CHI,121 (11.1),11.1,144 (12.12),12.12,161 (14.5),14.5
143,Chig Okonkwo (10),Chig Okonkwo,10,TE20,TE,TEN,123 (11.3),11.3,146 (13.2),13.2,168 (14.12),14.12
144,Rachaad White (9),Rachaad White,9,RB52,RB,TB,134 (12.2),12.2,146 (13.2),13.2,159 (14.3),14.3
145,Jerome Ford (9),Jerome Ford,9,RB53,RB,CLE,125 (11.5),11.5,147 (13.3),13.3,165 (14.9),14.9
146,Will Shipley (9),Will Shipley,9,RB54,RB,PHI,139 (12.7),12.7,148 (13.4),13.4,160 (14.4),14.4
147,Ollie Gordon (12),Ollie Gordon,12,RB55,RB,MIA,130 (11.10),11.10,149 (13.5),13.5,164 (14.8),14.8
148,Keaton Mitchell (7),Keaton Mitchell,7,RB56,RB,BAL,133 (12.1),12.1,151 (13.7),13.7,172 (15.4),15.4
149,Najee Harris (12),Najee Harris,12,RB57,RB,LAC,133 (12.1),12.1,151 (13.7),13.7,168 (14.12),14.12
150,Cedric Tillman (9),Cedric Tillman,9,WR59,WR,CLE,122 (11.2),11.2,152 (13.8),13.8,172 (15.4),15.4
151,Joshua Palmer (7),Joshua Palmer,7,WR60,WR,BUF,98 (9.2),9.2,153 (13.9),13.9,175 (15.7),15.7
152,Rashod Bateman (7),Rashod Bateman,7,WR61,WR,BAL,134 (12.2),12.2,153 (13.9),13.9,168 (14.12),14.12
153,Isaiah Likely (7),Isaiah Likely,7,TE21,TE,BAL,123 (11.3),11.3,155 (13.11),13.11,178 (15.10),15.10
154,Woody Marks (6),Woody Marks,6,RB58,RB,HOU,133 (12.1),12.1,156 (13.12),13.12,174 (15.6),15.6
155,DeMario Douglas (14),DeMario Douglas,14,WR62,WR,NE,131 (11.11),11.11,156 (13.12),13.12,187 (16.7),16.7
156,DEN Team Defense (12),DEN Team Defense,12,DF1,DF,DEN,133 (12.1),12.1,157 (14.1),14.1,177 (15.9),15.9
